event_date,DAU_WAU,DAU_MAU
2021-04-01,100.0000,100.0000
2021-04-02,52.1766,52.1766
2021-04-03,35.1837,35.1837
2021-04-04,26.2847,26.2847
2021-04-05,21.7654,21.7654
2021-04-06,17.2747,17.2747
2021-04-07,15.1052,15.1052
2021-04-08,12.9120,12.9120
2021-04-09,13.3051,12.0102
2021-04-10,12.8324,10.4884
2021-04-11,12.8091,9.5683
2021-04-12,12.3527,8.4970
2021-04-13,11.7316,7.3962
2021-04-14,12.4419,7.2943
2021-04-15,12.7876,6.9805
2021-04-16,12.7855,6.5516
2021-04-17,12.6259,6.0585
2021-04-18,12.8099,5.7881
2021-04-19,12.0565,5.1247
2021-04-20,12.7491,5.1547
2021-04-21,12.6471,4.9070
2021-04-22,12.1041,4.4683
2021-04-23,12.8555,4.5287
2021-04-24,12.5310,4.2196
2021-04-25,12.6316,4.0784
2021-04-26,12.1540,3.7408
2021-04-27,12.7747,3.8074
2021-04-28,12.1054,3.4603
2021-04-29,12.5169,3.4382
2021-04-30,12.2612,3.2595
2021-05-01,12.4486,3.1778
2021-05-02,12.3389,3.1222
2021-05-03,12.6541,3.1916
2021-05-04,12.1959,3.0666
2021-05-05,11.2522,2.7800
2021-05-06,12.1736,3.0005
2021-05-07,11.8788,2.8961
2021-05-08,12.5226,3.0482
2021-05-09,12.5974,3.0518
2021-05-10,12.1212,2.9172
2021-05-11,11.7495,2.7922
2021-05-12,12.4499,2.9459
2021-05-13,12.0900,2.8777
2021-05-14,12.4099,2.9458
2021-05-15,12.8687,3.0762
2021-05-16,12.3979,2.9516
2021-05-17,12.5404,2.9759
2021-05-18,12.7855,3.0531
2021-05-19,13.1232,3.1861
2021-05-20,12.1597,2.9538
2021-05-21,13.0489,3.2103
2021-05-22,12.5422,3.1104
2021-05-23,13.6628,3.4202
2021-05-24,12.8309,3.2564
2021-05-25,12.8071,3.2880
2021-05-26,13.1006,3.4054
2021-05-27,12.4218,3.2262
2021-05-28,12.5367,3.2927
2021-05-29,13.2214,3.5064
2021-05-30,11.4675,3.0421
2021-05-31,13.6215,3.6223
2021-06-01,13.2066,3.5403
2021-04-01,100.0000,100.0000
2021-04-02,52.1766,52.1766
2021-04-03,35.1837,35.1837
2021-04-04,26.2847,26.2847
2021-04-05,21.7654,21.7654
2021-04-06,17.2747,17.2747
2021-04-07,15.1052,15.1052
2021-04-08,12.9120,12.9120
2021-04-09,13.3051,12.0102
2021-04-10,12.8324,10.4884
2021-04-11,12.8091,9.5683
2021-04-12,12.3527,8.4970
2021-04-13,11.7316,7.3962
2021-04-14,12.4419,7.2943
2021-04-15,12.7876,6.9805
2021-04-16,12.7855,6.5516
2021-04-17,12.6259,6.0585
2021-04-18,12.8099,5.7881
2021-04-19,12.0565,5.1247
2021-04-20,12.7491,5.1547
2021-04-21,12.6471,4.9070
2021-04-22,12.1041,4.4683
2021-04-23,12.8555,4.5287
2021-04-24,12.5310,4.2196
2021-04-25,12.6316,4.0784
2021-04-26,12.1540,3.7408
2021-04-27,12.7747,3.8074
2021-04-28,12.1054,3.4603
2021-04-29,12.5169,3.4382
2021-04-30,12.2612,3.2595
2021-05-01,12.4486,3.1778
2021-05-02,12.3389,3.1222
2021-05-03,12.6541,3.1916
2021-05-04,12.1959,3.0666
2021-05-05,11.2522,2.7800
2021-05-06,12.1736,3.0005
2021-05-07,11.8788,2.8961
2021-05-08,12.5226,3.0482
2021-05-09,12.5974,3.0518
2021-05-10,12.1212,2.9172
2021-05-11,11.7495,2.7922
2021-05-12,12.4499,2.9459
2021-05-13,12.0900,2.8777
2021-05-14,12.4099,2.9458
2021-05-15,12.8687,3.0762
2021-05-16,12.3979,2.9516
2021-05-17,12.5404,2.9759
2021-05-18,12.7855,3.0531
2021-05-19,13.1232,3.1861
2021-05-20,12.1597,2.9538
2021-05-21,13.0489,3.2103
2021-05-22,12.5422,3.1104
2021-05-23,13.6628,3.4202
2021-05-24,12.8309,3.2564
2021-05-25,12.8071,3.2880
2021-05-26,13.1006,3.4054
2021-05-27,12.4218,3.2262
2021-05-28,12.5367,3.2927
2021-05-29,13.2214,3.5064
2021-05-30,11.4675,3.0421
2021-05-31,13.6215,3.5015
2021-06-01,13.2066,3.4191
